Frame,YOLO_ms,Lane_ms,BEV_ms,Total_ms,FPS
405,15.53,30.31,0.24,46.35,21.57
406,18.47,30.11,0.81,49.88,20.05
407,16.01,27.36,1.29,45.3,22.07
408,17.65,26.03,1.13,45.37,22.04
409,16.83,27.33,0.84,45.45,22.0
410,16.44,24.98,0.76,42.59,23.48
411,21.41,23.47,0.2,45.29,22.08
412,14.95,22.88,0.2,38.28,26.12
413,18.55,28.75,0.21,47.73,20.95
414,14.81,23.55,0.18,38.8,25.77
415,15.73,23.34,0.18,39.46,25.34
416,14.76,23.47,0.18,38.65,25.87
417,17.28,27.61,0.19,45.31,22.07
418,14.82,23.24,0.18,38.48,25.99
419,15.96,24.0,0.19,40.37,24.77
420,14.98,22.55,0.21,37.97,26.34
421,15.69,25.46,0.17,41.54,24.07
422,14.76,23.06,0.17,38.2,26.18
423,16.16,23.55,0.17,40.09,24.94
424,15.98,25.11,0.7,42.21,23.69
425,16.51,27.72,0.6,45.19,22.13
426,16.02,24.75,0.53,41.65,24.01
427,17.45,37.01,0.58,55.46,18.03
428,16.16,24.39,0.54,41.44,24.13
429,18.3,28.35,0.63,47.7,20.97
430,16.25,24.96,0.54,42.09,23.76
431,23.67,26.03,0.59,50.65,19.74
432,17.25,25.83,0.59,44.05,22.7
433,18.19,25.95,0.55,45.05,22.2
434,16.21,26.18,0.54,43.28,23.11
435,18.11,25.05,0.59,44.1,22.68
436,16.17,34.4,0.74,51.67,19.35
437,15.97,31.35,0.65,48.5,20.62
438,16.8,24.96,0.82,43.01,23.25
439,19.69,26.37,0.6,47.04,21.26
440,14.73,24.25,0.23,39.48,25.33
441,14.8,27.38,0.22,42.66,23.44
442,14.66,31.39,0.31,46.82,21.36
443,16.16,25.32,0.21,41.93,23.85
444,18.99,25.81,0.61,45.76,21.85
445,16.93,28.96,0.66,46.91,21.32
446,17.33,27.15,0.83,45.72,21.87
447,17.27,28.82,0.63,47.21,21.18
448,17.33,24.52,0.56,42.78,23.38
449,16.12,29.14,0.62,46.22,21.64
450,16.17,29.19,0.62,46.34,21.58
451,20.23,30.33,1.05,52.05,19.21
452,16.51,26.4,0.78,44.16,22.64
